id	path	data_structure	algorithm	dynamic_size	explicit_loops	target_loops	required_features	status
gof-adapter-transit	demos/patterns/adapter/transit_departure_board.mlpl	edge-list-to-csr-route-index	functional-adapter	yes	0	0	current	runnable
gof-prototype-transit	demos/patterns/prototype/event_transit_service.mlpl	immutable-graph-versions	functional-prototype	yes	0	0	current	constrained
gof-flyweight-shipments	demos/patterns/flyweight/shipment_manifest.mlpl	shared-intrinsic-table-and-ids	functional-flyweight	yes	0	0	current	constrained
gof-memento-room-plan	demos/patterns/memento/undo_room_plan.mlpl	immutable-snapshot-history	functional-memento	yes	0	0	current	constrained
gof-composite-interpreter-shipping	demos/patterns/composite_interpreter/shipping_quote_rules.mlpl	tagged-expression-tree	closed-composite-and-interpreter	yes	0	0	current	constrained
gof-state-incident	demos/patterns/state/incident_response_workflow.mlpl	immutable-state-and-effect-vectors	closed-functional-state	yes	0	0	current	constrained
gof-iterator-maintenance	demos/patterns/iterator/maintenance_budget_iterator.mlpl	immutable-collection-index-state	explicit-functional-iterator	yes	0	0	current	constrained
gof-strategy-shipping	demos/patterns/strategy/shipping_service_policy.mlpl	parallel-service-vectors-and-udf-policy	functional-strategy	yes	0	0	first-class-udf-call	runnable
gof-factory-method-fulfillment	demos/patterns/factory/fulfillment_factory_method.mlpl	immutable-order-and-injected-constructor	functional-factory-method	yes	0	0	first-class-udf-call	runnable
gof-abstract-factory-analytics	demos/patterns/factory/analytics_abstract_factory.mlpl	fixed-record-of-related-constructors	functional-abstract-factory	yes	0	0	first-class-udf-call	runnable
gof-bridge-energy	demos/patterns/bridge/energy_meter_reporting.mlpl	numeric-readings-and-callable-protocol-record	functional-bridge	yes	0	0	first-class-udf-call	runnable
gof-template-numeric-report	demos/patterns/template_method/numeric_reporting_workflow.mlpl	immutable-stage-records-and-callable-step-record	functional-template-method	yes	0	0	first-class-udf-call	runnable
gof-decorator-shipping	demos/patterns/decorator/shipping_quote_layers.mlpl	nested-callable-service-environments	functional-decorator	yes	0	0	first-class-udf-call	runnable
gof-proxy-inventory	demos/patterns/proxy/inventory_access_proxy.mlpl	immutable-target-proxy-state-effects	functional-protection-proxy	yes	0	0	first-class-udf-call	runnable
gof-command-account	demos/patterns/command/account_commands.mlpl	fixed-executable-command-records	functional-command	yes	0	0	first-class-udf-call	runnable
gof-visitor-expression	demos/patterns/visitor/expression_visitors.mlpl	closed-expression-tree-and-callable-algebras	fixed-algebra-functional-visitor	yes	0	0	first-class-udf-call	runnable
gof-builder-storage	demos/patterns/builder/storage_plan.mlpl	immutable-staged-configuration-records	constrained-functional-builder	yes	0	0	current	constrained
gof-facade-delivery	demos/patterns/facade/delivery_booking.mlpl	request-rates-and-fleet-subsystems	constrained-functional-facade	yes	0	0	current	constrained
gof-chain-purchase	demos/patterns/chain/purchase_approval.mlpl	nested-callable-handler-records	constrained-functional-chain	yes	0	0	first-class-udf-call	constrained
gof-observer-sale	demos/patterns/observer/sale_observers.mlpl	fixed-callable-subscribers-and-states	constrained-functional-observer	yes	0	0	first-class-udf-call	constrained
gof-mediator-order	demos/patterns/mediator/order_mediator.mlpl	fixed-callable-participants-and-states	constrained-functional-mediator	yes	0	0	first-class-udf-call	constrained
gof-singleton-module	demos/patterns/singleton/module_singleton.mlpl	evaluate-once-private-module	module-lifecycle-identity	no	0	0	modules-exports-privacy-and-stable-lifecycle-identity	gated
